re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,refl,print_cost,exit_deg
1.922411561686450554e+01,1.294696463854006652e+01,2.003179375890584879e+01,1.550000000000000000e+02,5.727267375335541146e+02,1.115202522609361369e+00,-2.046023976357729812e-01,7.118345233593020849e-01,1.920806482438938190e+01,4.035043767272202264e-01,3.512564917254086261e+00,1.475267469019468969e+01
1.918621345302907599e+01,1.000000000000000000e+01,2.200820932252670303e+01,1.313649276992998693e+02,4.447570451920856840e+02,1.525141748336124703e+00,-1.953685347015819973e-01,7.474739719729112108e-01,1.785235875491693491e+01,3.236470703278936378e-01,1.944247323163539765e+00,2.063649687261704457e+01
1.994699427771743672e+01,5.781825874228349704e+01,2.055491459255444653e+01,1.138805142014603717e+02,5.352008821936482263e+02,2.634968398078277652e+00,6.310375143460975056e-02,2.106764402615989851e-01,1.639909686525964361e+01,2.062752997035287583e-01,2.875881774484354558e+00,2.455061092553150459e+01
1.933305929051007510e+01,4.311217597072081276e+01,2.020226756431002713e+01,1.241974699559226991e+02,5.498339985511116765e+02,2.468909414693738480e+00,9.320876401894268373e-03,2.274566183637532213e-01,1.689058209917114439e+01,1.961333529275439691e-01,2.951276366891248948e+00,2.491584420792185028e+01
1.995249111198258873e+01,2.494116484006484313e+01,2.373854122836297975e+01,8.383303777545370394e+01,1.200000000000000000e+02,1.110846516341822632e+00,-1.079297324601724561e-01,5.285158477276776789e-01,1.346064613635746632e+01,5.599887558319230907e-01,2.614190425199118817e-01,2.907744570149569441e+01
1.994412217662925357e+01,2.448241264379062443e+01,2.383158421176546327e+01,8.283708534120987110e+01,1.544386387597035082e+02,1.141547958480865432e+00,-7.108686830336929940e-02,5.513537270839135029e-01,1.421793569959268133e+01,5.104042615151310747e-01,3.069281573731533208e-01,2.355354159163138661e+01
1.989666146852172091e+01,2.417853259528217436e+01,2.378265125809641489e+01,8.169952037337661466e+01,1.200000000000000000e+02,1.167211145811526185e+00,-7.211664221917388207e-02,5.517391951143434392e-01,1.340724423222917139e+01,5.454232240773783102e-01,2.532354313446019689e-01,2.937979472213909204e+01
1.995241174486069724e+01,1.697730748665105693e+01,2.168959596328688377e+01,1.550000000000000000e+02,5.800000000000000000e+02,1.083177614362091923e+00,-1.325794531440161184e-01,7.839877233169679771e-01,1.913844751059707505e+01,3.573721399813198363e-01,3.595314529906800338e+00,1.422569933945314880e+01
1.909498504911602268e+01,2.725758076594885182e+01,2.387558968255860847e+01,9.636173223240534469e+01,1.920755381977982950e+02,1.174503821075564725e+00,-1.563567621850145764e-02,5.166446076402522181e-01,1.513404327356086831e+01,5.091472891895069131e-01,4.122320900467105198e-01,2.389150358217440484e+01
1.889832518921523885e+01,1.000000000000000000e+01,2.211809559711573669e+01,1.349459709633984517e+02,4.294378174813359124e+02,1.539270834505465979e+00,-1.857675702334811718e-01,7.877238389296269405e-01,1.781815076092724226e+01,3.376491377196337851e-01,1.941361045282746112e+00,2.238626520092959282e+01
2.000000000000000000e+01,2.538555054808198008e+01,2.389301998391933779e+01,8.464318759392610048e+01,1.781774350777898235e+02,1.140760706124754220e+00,-1.043341663393855534e-01,5.660920701344605011e-01,1.463742910554175936e+01,4.570242997540058805e-01,3.474280934978290492e-01,2.124361509488399591e+01
