re,Le,rt,ra,rb,rm,L,G_dB,refl,Pcost
1.695562475148122061e+01,4.450143098145023401e+01,1.827790951512403694e+01,3.563329934477872030e+01,1.190193804446335974e+02,1.364985142293464548e+02,2.467241699277462033e+02,1.761014616021292767e+01,5.355344885167035995e-01,1.722661014994477435e+00
2.000000000000000000e+01,1.881423271213953896e+01,2.060387700618429108e+01,2.612897280511322151e+01,5.277938709610105406e+01,1.183695065720709039e+02,5.136891069718451490e+02,1.604682029652423836e+01,2.187443086317732710e-01,2.834371448647395653e+00
1.931986570751090682e+01,2.854888783304788547e+01,2.031852230014166594e+01,3.921885799877094314e+01,1.273573507568724779e+02,1.549219835451049505e+02,4.895979364093807931e+02,1.981268571028112646e+01,3.608861749376330863e-01,2.365478448972629710e+00
1.984297053598940153e+01,2.728599793828969311e+01,2.006724717850544337e+01,6.678898924523326741e+01,1.393287210948883796e+02,1.515238516499622961e+02,5.916167375206853194e+02,1.934418486759857814e+01,3.106771928505053237e-01,3.840581723255840352e+00
2.000000000000000000e+01,2.435000575435442727e+01,2.095337185846158690e+01,2.238004421448835402e+01,3.996954219497699512e+01,6.335686135867521784e+01,2.010601544261454308e+02,1.294426656741768689e+01,4.262114205125815958e-01,2.651352173256572020e-01
1.385849874884590349e+01,1.000000000000000000e+01,1.452847710367049139e+01,1.300000000000000178e+01,1.304987981657155061e+01,6.000000000000000000e+01,2.000000000000000000e+02,8.599199066874797737e+00,6.965853524574119326e-01,1.662013814926436850e-01
1.992115744508302910e+01,3.634539234813318842e+01,2.109861842803000798e+01,3.691155426045490628e+01,7.868573227832244754e+01,1.257811410664512266e+02,4.691921791213304118e+02,1.778717971460686087e+01,2.411944414417062921e-01,1.979716879090219539e+00
1.373780114908591621e+01,1.129214199257799045e+01,1.438248283734158761e+01,1.320984971214430814e+01,1.473407946815710190e+01,6.000000000000000000e+01,2.000000000000000000e+02,9.240369208831110015e+00,6.657754507576707503e-01,1.705383362977098971e-01
1.987076134990025267e+01,1.633850685857150253e+01,2.464647710884337783e+01,4.799217806947469711e+01,1.097127079111761248e+02,1.282140835148668714e+02,2.000000000000000000e+02,1.670372405516498304e+01,5.482969575406106966e-01,5.916702063557833791e-01
2.000000000000000000e+01,2.502587148453153532e+01,2.244609506153422984e+01,2.441102592607547805e+01,4.786574722183399189e+01,8.145451869078574703e+01,2.422480599853683430e+02,1.440399226760174045e+01,3.852693617630213452e-01,1.366204294798601060e+00
1.984109335656150819e+01,2.898567960596066584e+01,2.022941814135263172e+01,3.335645375645141542e+01,5.038352145338050292e+01,8.257554887560796431e+01,2.556788400672264459e+02,1.491039922147554897e+01,3.326616148279522567e-01,1.412441790365371208e+00
1.996239264957636905e+01,1.732123836385914828e+01,2.480376786338922557e+01,4.612177485140210820e+01,8.321442727718981303e+01,1.097811083881411207e+02,2.073601700092050635e+02,1.582467293269915842e+01,4.941665534753942879e-01,4.945748894288626296e-01
1.635289136463640247e+01,4.313657809410202049e+01,1.727507475247442059e+01,4.091373224974460499e+01,1.113991114006184944e+02,1.329195027717655933e+02,2.678794095902382537e+02,1.775841115784302815e+01,5.096335596944256974e-01,1.735143783192563127e+00
1.999999723869355250e+01,2.258220221016839702e+01,2.068705584759530680e+01,1.856306168080751462e+01,2.947380432451618404e+01,6.000000000000000000e+01,2.000000000000000000e+02,1.205230756910050616e+01,4.492080540217751605e-01,2.297132417286922301e-01
1.883220628375844896e+01,1.358982217023276107e+01,2.206837622074916183e+01,3.665334721079401703e+01,6.991954752787539462e+01,9.729220334492565314e+01,2.157517934167938449e+02,1.547572243520550650e+01,4.632387371839343237e-01,4.284199048109509911e-01
1.983457071736359012e+01,3.190722771786095535e+01,2.023338592977722072e+01,3.313227639153029713e+01,4.969432324698509262e+01,8.185263009826809366e+01,2.561756826468694044e+02,1.487290814013774387e+01,3.323756029155176539e-01,1.411267490720764073e+00
1.991484489570295580e+01,2.493232452789661835e+01,2.026666837805136723e+01,2.997629615804498115e+01,4.298662795759457822e+01,6.985649910458856482e+01,2.069732381214258510e+02,1.363052404674927409e+01,3.811489569670603594e-01,1.302826714877062919e+00
1.986672259821569497e+01,1.631602874042322426e+01,2.425225105208702558e+01,4.876750804998806643e+01,1.040470099389978174e+02,1.289777795235027895e+02,2.000000000000000000e+02,1.622772320260141043e+01,5.364877344055157815e-01,5.770216253132389728e-01
1.561836252681024284e+01,2.673397121680342536e+01,2.063181921545453079e+01,4.833566786434344209e+01,1.250332600930130980e+02,1.547226810445866363e+02,6.000000000000000000e+02,1.997238447581262832e+01,5.005419277819763701e-01,3.669937535793780015e+00
1.996624303526797917e+01,1.334419028089367032e+01,2.256969234304601457e+01,4.607408029436985686e+01,7.809861227896968217e+01,1.055226784156716064e+02,2.630669082161711003e+02,1.636249026649442229e+01,4.172337279681941347e-01,1.568297850407684768e+00
1.904027970977174178e+01,2.486902368193823776e+01,2.227718355222472368e+01,2.993835786176466840e+01,6.998237762128094630e+01,9.788401547774087419e+01,2.619902762358292989e+02,1.596173594162211096e+01,4.452747486937662647e-01,1.493942092183370818e+00
1.982151542794205312e+01,2.350290760988738370e+01,2.073576478422900493e+01,2.364149930218813012e+01,3.435850700458442475e+01,6.059902366827617470e+01,2.000000000000000000e+02,1.264484793957991116e+01,4.171354043203283624e-01,2.509638055443501603e-01
1.907486881672866019e+01,2.909842704112775635e+01,2.003217207623126583e+01,3.653789271963565000e+01,1.093513295844420412e+02,1.550000000000000000e+02,4.586120235638837244e+02,1.885413597265855401e+01,3.286340212753502965e-01,2.186146514229540205e+00
1.795673503054014830e+01,2.649626428765130370e+01,2.007571493515945349e+01,5.464658077488937238e+01,1.358658798742287956e+02,1.545717350106067727e+02,6.000000000000000000e+02,1.992204655841933558e+01,3.719699123565017307e-01,3.778500177118039538e+00
2.000000000000000000e+01,1.976120974963988530e+01,2.052087368606392914e+01,2.512630995579720761e+01,5.075654515925988619e+01,1.237401844415835939e+02,5.473914702238694190e+02,1.582212512707384811e+01,1.978734372169969058e-01,2.883531952260023346e+00
1.999781201274383235e+01,2.156749347008198470e+01,2.036602787496563849e+01,2.356662585915977814e+01,5.200849710120720459e+01,1.316859237344268365e+02,5.873558987353852672e+02,1.594325518912668116e+01,1.934510643868769530e-01,2.965837620448412260e+00
1.802696640272844775e+01,2.240375404254209357e+01,2.008708053241102220e+01,5.190340497409727050e+01,1.317126919861748036e+02,1.549383374141366687e+02,5.976138610198468086e+02,1.991890004442364415e+01,3.697329631200443889e-01,3.727168304306728519e+00
1.403065502391527630e+01,1.048230781176193283e+01,1.567628008933436767e+01,1.391363035688868877e+01,2.570260609551715802e+01,6.089548143416748616e+01,2.017749008139128364e+02,1.148873950245137721e+01,5.411556533163828231e-01,1.974480378421775983e-01
1.902506889120431310e+01,1.584854974275350159e+01,2.218782737384140091e+01,5.338505902909581380e+01,1.295733360351715078e+02,1.550000000000000000e+02,4.797531367457475540e+02,1.983305015750219624e+01,4.000289881848124729e-01,2.417831818718970904e+00
1.997419719962680773e+01,1.796005920290727076e+01,2.468348053243831330e+01,4.538197434768573402e+01,8.254281184680770878e+01,1.102100232307906538e+02,2.086762027923001881e+02,1.581844262438807647e+01,4.868501252503463217e-01,4.952970801315452198e-01
1.426120103834665009e+01,1.052109653293543978e+01,1.463698152767326555e+01,1.300000000000000000e+01,1.619061403134304911e+01,6.000000000000000000e+01,2.000000000000000000e+02,9.700962314104913276e+00,6.241335168993855653e-01,1.734051926801715993e-01
1.343185709656219551e+01,1.000000000000000000e+01,1.382237747938126837e+01,1.328678678058129137e+01,2.337236489687331087e+01,6.558946067757317167e+01,2.000000000000000000e+02,1.103292366095383059e+01,5.409328816508333082e-01,1.955738153741216068e-01
1.953077093193349256e+01,3.744765417488751780e+01,2.124777769931911564e+01,3.614865198337429320e+01,9.681327159667824844e+01,1.246154037216210924e+02,4.657756410821100417e+02,1.829367481926786709e+01,3.238291853470914861e-01,2.052835774213591424e+00
1.299570100636934278e+01,1.282213078108926574e+01,1.572199219111100810e+01,1.646304566543125247e+01,2.532509561396465614e+01,6.000000000000000000e+01,2.048205008915493011e+02,1.173633898862123637e+01,5.995071948271233353e-01,2.037918029736716097e-01
1.305823020792727185e+01,1.096200606307180969e+01,1.317112295806024314e+01,1.300000000000000000e+01,1.689706582522759604e+01,6.000000000000000000e+01,2.000000000000000000e+02,9.885669275017283653e+00,6.249097997141476180e-01,1.724417589308155641e-01
1.964909178604857942e+01,2.870901660218688889e+01,2.045637212093327051e+01,4.493313313861231251e+01,1.131258068017666290e+02,1.549989403688206551e+02,4.717327184921990693e+02,1.912881955548339974e+01,3.022509297191486310e-01,2.274893740210690130e+00
1.852256889083854219e+01,2.410420040606460290e+01,2.091883149645063256e+01,2.526224833834260863e+01,4.911213172596091425e+01,7.385106232901866008e+01,2.430262016012361528e+02,1.429941440530427954e+01,4.257223253742692393e-01,1.353574734300674764e+00
2.000000000000000000e+01,1.966672740289282473e+01,2.051968202828041399e+01,2.529327647548258184e+01,5.015008693945903673e+01,1.220631607753307293e+02,5.876882367072132638e+02,1.620412709233877280e+01,2.047371073419500809e-01,2.931221641775213271e+00
2.000000000000000000e+01,2.489534933225939284e+01,2.032977034587771570e+01,3.296730231940355083e+01,5.134749216111556080e+01,9.005841467356772512e+01,2.865958806985104843e+02,1.510783297393238911e+01,3.220990191044536544e-01,1.468676508478178544e+00
1.976954125074542290e+01,2.545451166403556797e+01,2.089459790578500531e+01,2.430025297286733377e+01,4.785919419607658654e+01,7.338488008886423586e+01,2.403132633707114962e+02,1.408980246279634052e+01,3.854373026481373032e-01,1.346090671208982847e+00
1.994023221556532022e+01,2.761792484031598605e+01,2.048878985874171832e+01,3.096425016767101113e+01,7.920741770040237384e+01,1.443302785164937347e+02,5.895146609541209273e+02,1.773843239254924242e+01,2.067109673727228758e-01,3.227130384992434653e+00
1.900595216710757995e+01,2.151613795521610228e+01,2.214068852464646397e+01,5.260642456194027972e+01,1.304270765017484450e+02,1.548577871144135258e+02,4.865619769649362070e+02,1.987351440538749259e+01,4.021806890232478282e-01,2.439667353243211600e+00
