rt,rm,L,k,H0,H1,r1,ffold,G_dB,refl,Pcost,fc_Hz
2.372241849532593605e+01,1.213187146178198361e+02,7.936662809690996028e+02,1.049839197416868597e-01,9.510120690893992901e+01,2.565715921001952893e+02,4.539287672111370142e+01,6.749463026758819595e-01,1.775062840936178787e+01,2.250758535614258704e-01,3.624929317897684911e+00,1.122526558821616334e+02
1.301934622827703691e+01,6.103654539152419289e+01,3.000000000000000000e+02,2.244543945287665876e-01,4.000000000000000000e+01,8.162645279672578624e+01,3.085118334976978360e+01,8.251717455836868886e-01,1.333908204456842839e+01,5.331430309211130369e-01,2.041395002407201620e+00,2.811458668100707996e+02
1.860646166747447694e+01,1.158987899383939606e+02,7.423515942612652907e+02,1.074698747473135374e-01,1.052909845328868670e+02,1.743805814563471870e+02,4.391236576669560776e+01,6.928703653730825529e-01,1.746844303284108690e+01,2.543315737377868646e-01,3.277319928723749332e+00,1.345140938328140408e+02
1.682891384385488465e+01,1.230000000000000000e+02,8.407531400287002725e+02,1.074164043409006897e-01,1.026747052820682455e+02,2.247216203646641759e+02,4.727175755613011887e+01,6.865297587299916682e-01,1.853568494733515237e+01,3.533971962063685024e-01,3.592498194523723765e+00,1.291514509181371011e+02
1.774847880164621117e+01,1.230000000000000000e+02,7.846545094392123474e+02,1.106658158486300003e-01,8.947132243093004433e+01,2.390374136943665064e+02,4.615274295611997957e+01,6.676729494541878696e-01,1.819099780321931092e+01,2.575977979392756745e-01,3.470325121630530418e+00,1.346837590852042013e+02
1.733041401516343072e+01,1.199928619742433966e+02,7.738816860320208662e+02,1.080943017422679453e-01,9.912020988258478837e+01,2.076623231917832300e+02,4.485888644427801353e+01,6.863094111096610384e-01,1.796161836945125145e+01,2.652373339713114397e-01,3.386883933158529203e+00,1.364940604297410971e+02
1.746913748317346560e+01,1.200972828543368252e+02,7.823860788834781488e+02,1.074925680727389504e-01,9.463851305797687985e+01,2.059768859103699015e+02,4.500665019324696914e+01,6.895285725037679780e-01,1.808462820071176580e+01,2.617641469935039766e-01,3.391672622420990546e+00,1.345147971417413828e+02
1.887407226442752517e+01,1.202353741775424396e+02,7.100792297539596802e+02,1.102945279755871699e-01,1.053596839037421944e+02,1.802716358004455799e+02,4.410125535192856461e+01,6.938348706859543968e-01,1.751807114121535491e+01,2.800720750624116073e-01,3.248146952209917337e+00,1.423538400547800507e+02
1.346246723613680984e+01,6.329565047703822245e+01,3.000000000000000000e+02,2.327318837558698672e-01,4.072555831826355188e+01,8.000000000000000000e+01,3.039400238759370154e+01,8.404440232215402151e-01,1.361613778504165317e+01,5.189665564929952790e-01,2.053758722181746599e+00,2.816689565455618549e+02
1.683939421636566180e+01,7.461764294317498525e+01,3.000000000000000000e+02,2.326241747799608905e-01,4.163882603726862897e+01,1.305616958147542732e+02,3.221742089687541011e+01,8.317813606227957290e-01,1.480824422084718073e+01,4.123345997122017104e-01,2.126551578159623368e+00,2.708864819464579909e+02
1.457360856498916135e+01,5.039232783264956339e+01,3.006048442102945728e+02,2.099955063212966266e-01,4.288094563731328890e+01,8.219367672542269077e+01,3.160152805080385718e+01,8.516242758569942950e-01,1.220599631880833691e+01,4.898907112298734323e-01,2.017958129589031202e+00,2.252990665870506177e+02
1.714284376219874417e+01,1.229985899115880557e+02,8.284479428594689807e+02,1.123482359898292510e-01,9.320782261630641585e+01,2.284855386354048505e+02,4.512476719482845056e+01,6.723694182642256933e-01,1.848416849613023416e+01,3.341932475272477165e-01,3.547227438258315768e+00,1.298511380795636114e+02
1.885971711325682421e+01,1.193853608495508496e+02,7.328243919348592499e+02,1.070130080658710792e-01,1.064405638378210313e+02,1.810137268666874490e+02,4.353669767147228953e+01,6.858883543081302214e-01,1.759773571481646925e+01,2.502755199427103561e-01,3.295601351155800440e+00,1.374636843345893453e+02
