re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,salience_dB,refl,print_cost,step_ratio
1.406470232755106942e+01,4.626222457511799746e+01,2.015367194951530649e+01,1.056116927713028559e+02,1.573424993150701141e+02,3.346554947488288079e+00,1.683821135351729337e-01,8.000000000000000444e-01,2.776759450132328055e+01,6.346091063639104357e-01,3.213995480581720576e-01,2.053275760462012212e+00
1.988032543137457964e+01,3.145358509147790116e+01,2.535952904290806487e+01,1.508662929334512057e+02,4.155210384113848363e+02,2.446106506138213899e+00,-4.215889763175970084e-02,6.697984015316901241e-01,3.069438491569112415e+01,2.972641223483634132e-01,1.922917154713609911e+00,1.627179219146397848e+00
2.000000000000000000e+01,2.606010649036284477e+01,2.024128439859836348e+01,1.550000000000000000e+02,5.339692178303916990e+02,3.190732457682400547e+00,1.310594422044887054e-02,7.344128407386469881e-01,3.054119869522084230e+01,1.645773867449620842e-01,3.010100369028616996e+00,1.024273985262353692e+00
1.137565930744651865e+01,2.672114918667344341e+01,2.428879464518157150e+01,1.282178154158738153e+02,2.023905431217307864e+02,2.429739843087515894e+00,-3.221476975887545974e-02,5.349443428467357542e-01,3.027753860769458072e+01,7.974813835364470416e-01,4.707966221319657141e-01,4.558886422277024231e+00
2.000000000000000000e+01,2.017595269346233877e+01,2.035279833158682194e+01,1.454283333203025563e+02,3.777420641494420011e+02,2.742614507000820101e+00,-1.231715878681273607e-01,7.962851685520441203e-01,2.999793534608387091e+01,2.805988210239320768e-01,1.750707100249336179e+00,1.035590999815608315e+00
1.558044092225814126e+01,4.024617342335713488e+01,2.092456779422526836e+01,1.232568594624804064e+02,1.699523267117886576e+02,3.533093868679009208e+00,2.223877036626140946e-01,7.535435094124990352e-01,2.960291548247982973e+01,6.546512050174645436e-01,4.014429757823873568e-01,1.803655143432724595e+00
1.197318635230432982e+01,3.454364659503826829e+01,1.256905002664989368e+01,6.150950933566244316e+01,1.289273180961494347e+02,4.000000000000000000e+00,-2.401903608512699281e-02,3.456202414408533485e-01,2.204099191515327405e+01,6.787124025247620596e-01,1.457942210863178711e-01,1.102009721311170365e+00
1.930493980229440609e+01,3.516018490441082633e+01,1.983603616077066789e+01,9.193138618043973054e+01,1.200000000000000000e+02,1.823964935326998660e+00,-2.440068437881477703e-02,6.075400176417504738e-01,2.663678918738353474e+01,5.258716187057085323e-01,2.609509724744665249e-01,1.055778659206740633e+00
1.412261137473092454e+01,4.617162078933800728e+01,2.015661397624514706e+01,1.026584604072938589e+02,1.572929014521481577e+02,3.535215221814919762e+00,1.695968747754435790e-01,7.802033522736687710e-01,2.771473514279699302e+01,6.295882639734418085e-01,3.105286008408374432e-01,2.037066189023690743e+00
2.000000000000000000e+01,3.150386405871649487e+01,2.436411306723564607e+01,1.550000000000000000e+02,4.726681731098875048e+02,2.526947958406235983e+00,-4.511965437012955410e-02,6.738628512506633639e-01,3.074371178172896180e+01,2.382099567016809083e-01,2.024106839236652355e+00,1.484025013882606769e+00
1.481223138356793179e+01,4.069957685563360172e+01,1.593197309697095498e+01,6.314861059236955043e+01,1.465363281730416247e+02,3.221476186554668608e+00,8.713963921889979203e-02,5.401094803423305279e-01,2.323740069405757325e+01,5.622794612825926519e-01,1.871546582848482021e-01,1.156906213466140532e+00
8.902157762759875581e+00,2.837262088834523865e+01,2.729378947632325136e+01,1.488098519159406976e+02,1.465711163823824279e+02,2.354654077808419732e+00,1.534565362802184918e-01,3.510801173302707245e-01,3.284343197429575412e+01,9.340160495656394390e-01,5.137996373620050683e-01,9.400200172425757117e+00
1.309917354302274539e+01,2.593436493067048687e+01,2.664636221133604721e+01,1.444108397288477477e+02,2.939024860529503371e+02,2.384506084668927439e+00,1.923127102225068441e-01,5.391422457612236041e-01,3.148150349927653480e+01,7.162189859662384528e-01,1.746106840196622212e+00,4.137976904611184281e+00
1.959329869650622058e+01,2.453971599891224642e+01,2.002300985004883316e+01,1.349045891902140113e+02,5.085162755804888093e+02,3.631335146814914427e+00,-4.201363567944926825e-02,8.000000000000000444e-01,2.927954893072819331e+01,2.133670292003234936e-01,2.812749476232280443e+00,1.044344066130351356e+00
1.827313019126246374e+01,3.407324503481095235e+01,1.852570182319026060e+01,7.180159805432253961e+01,2.476291903006291761e+02,2.173814987884450378e+00,-2.730548132194966782e-02,4.843403935588784237e-01,2.507314471715969972e+01,3.606437573883429781e-01,1.327346593242900052e+00,1.027835095001367494e+00
